@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 11\nSize of the tree: 21\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

banknote,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,123,14,0,89.781022,10.218978,0,0.790428,0.153507,0.268329,31.07821,53.990402,135.813086,45.831265,89.981821,0.991336,0.334535,0.656802,95.955615,0.700406,9681.398718,0.960526,73,0.180328,11,0.819672,50,0.039474,3,0.869048,0.960526,0.9125,0.796158,0.971311,0.981245,0.89781,0.117612,0.882388,0.10219,0.902152,0.89781,0.896779,0.796158,0.971311,0.969308,0.894846,0.89781,0,0,0.000507,0.000193,0.507,0.193,2733,86566,10804,99.270073,72.262774,?,?,?,?
banknote,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1234,138,116,22,0,84.057971,15.942029,0,0.677912,0.180714,0.317611,36.609781,63.952424,136.662355,62.231579,74.430776,0.990307,0.450953,0.539353,88.090745,0.638339,8886.844642,0.844156,65,0.163934,10,0.836066,51,0.155844,12,0.866667,0.844156,0.855263,0.678203,0.940813,0.960459,0.84058,0.160358,0.839642,0.15942,0.841408,0.84058,0.840817,0.678203,0.940813,0.941312,0.838922,0.84058,0.001,0,0.000688,0.000237,0.688,0.237,2733,86497,10873,98.550725,73.913043,?,?,?,?
banknote,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1234,138,118,20,0,85.507246,14.492754,0,0.706195,0.174388,0.2969,35.32833,59.782219,136.662355,53.814222,82.848133,0.990307,0.389958,0.600349,90.381222,0.654936,9117.914438,0.87013,67,0.163934,10,0.836066,51,0.12987,10,0.87013,0.87013,0.87013,0.706195,0.95231,0.967316,0.855072,0.148877,0.851123,0.144928,0.855072,0.855072,0.855072,0.706195,0.95231,0.954506,0.853098,0.855072,0.001,0,0.000559,0.000208,0.559,0.208,2733,86497,10873,100,76.086957,?,?,?,?
banknote,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,122,15,0,89.051095,10.948905,0,0.778006,0.162767,0.278549,32.953088,56.046649,135.813086,47.816441,87.996646,0.991336,0.349025,0.642311,93.473572,0.682289,9430.974142,0.907895,69,0.131148,8,0.868852,53,0.092105,7,0.896104,0.907895,0.901961,0.778091,0.962252,0.974387,0.890511,0.113764,0.886236,0.109489,0.890418,0.890511,0.890416,0.778091,0.962252,0.963579,0.888997,0.890511,0.001,0,0.000545,0.000202,0.545,0.202,2733,86566,10804,100,73.722628,?,?,?,?
banknote,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,112,25,0,81.751825,18.248175,0,0.626377,0.202763,0.345379,41.050429,69.493597,135.813086,71.249675,64.563411,0.991336,0.520071,0.471266,81.476639,0.59472,8220.548919,0.881579,67,0.262295,16,0.737705,45,0.118421,9,0.807229,0.881579,0.842767,0.629833,0.929896,0.949632,0.817518,0.198234,0.801766,0.182482,0.818852,0.817518,0.815981,0.629833,0.929896,0.933827,0.812688,0.817518,0.001,0,0.00076,0.000259,0.76,0.259,2733,86566,10804,98.540146,74.087591,?,?,?,?
banknote,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,112,25,0,81.751825,18.248175,0,0.623916,0.208638,0.351173,42.239799,70.659437,135.813086,71.646333,64.166753,0.991336,0.522966,0.46837,79.5454,0.580623,8025.697413,0.907895,69,0.295082,18,0.704918,43,0.092105,7,0.793103,0.907895,0.846626,0.632637,0.925151,0.947579,0.817518,0.204705,0.795295,0.182482,0.82289,0.817518,0.814634,0.632637,0.925151,0.929031,0.8107,0.817518,0.001,0,0.000758,0.000255,0.758,0.255,2733,86566,10804,100,74.452555,?,?,?,?
banknote,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,121,16,0,88.321168,11.678832,0,0.761272,0.159657,0.286111,32.323409,57.568161,135.813086,50.492638,85.320448,0.991336,0.368559,0.622777,94.079014,0.686708,9492.059937,0.934211,71,0.180328,11,0.819672,50,0.065789,5,0.865854,0.934211,0.898734,0.764341,0.961821,0.971249,0.883212,0.129329,0.870671,0.116788,0.885105,0.883212,0.882409,0.764341,0.961821,0.963965,0.880402,0.883212,0.001,0,0.000794,0.000288,0.794,0.288,2733,86566,10804,100,72.627737,?,?,?,?
banknote,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,115,22,0,83.941606,16.058394,0,0.672818,0.195301,0.319723,39.539739,64.331324,135.813086,59.818472,75.994615,0.991336,0.436631,0.554705,83.620975,0.610372,8436.900723,0.881579,67,0.213115,13,0.786885,48,0.118421,9,0.8375,0.881579,0.858974,0.674012,0.942407,0.957799,0.839416,0.170952,0.829048,0.160584,0.839551,0.839416,0.838753,0.674012,0.942407,0.946482,0.836267,0.839416,0.001,0,0.00081,0.000274,0.81,0.274,2733,86566,10804,99.270073,76.277372,?,?,?,?
banknote,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,121,16,0,88.321168,11.678832,0,0.763589,0.16445,0.290482,33.293676,58.447801,135.813086,52.42803,83.385056,0.991336,0.382686,0.60865,92.91455,0.678208,9374.571851,0.894737,68,0.131148,8,0.868852,53,0.105263,8,0.894737,0.894737,0.894737,0.763589,0.959016,0.972289,0.883212,0.119622,0.880378,0.116788,0.883212,0.883212,0.883212,0.763589,0.959016,0.960129,0.881795,0.883212,0.001,0,0.000746,0.000198,0.746,0.198,2733,86566,10804,100,73.357664,?,?,?,?
banknote,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,103,34,0,75.182482,24.817518,0,0.49104,0.243764,0.385691,49.351186,77.604775,135.813086,85.569304,50.243782,0.991336,0.624593,0.366743,69.131738,0.504611,6975.015712,0.828947,63,0.344262,21,0.655738,40,0.171053,13,0.75,0.828947,0.7875,0.4946,0.886324,0.917781,0.751825,0.26714,0.73286,0.248175,0.7521,0.751825,0.749321,0.4946,0.886324,0.895677,0.744627,0.751825,0.001,0,0.000592,0.000196,0.592,0.196,2733,86566,10804,99.270073,77.007299,?,?,?,?
banknote,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,114,23,0,83.211679,16.788321,0,0.659609,0.201239,0.351088,40.741872,70.642288,135.813086,74.780094,61.032992,0.991336,0.54584,0.445496,82.07306,0.599073,8280.724534,0.855263,65,0.196721,12,0.803279,49,0.144737,11,0.844156,0.855263,0.849673,0.659681,0.918464,0.942827,0.832117,0.173575,0.826425,0.167883,0.831916,0.832117,0.831972,0.659681,0.918464,0.921533,0.829795,0.832117,0,0.001,0.000721,0.000242,0.721,0.242,2733,86566,10804,99.270073,74.817518,?,?,?,?
banknote,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1234,138,117,21,0,84.782609,15.217391,0,0.690979,0.180702,0.310467,36.607315,62.513946,136.662355,58.869626,77.792728,0.990307,0.426591,0.563715,88.279207,0.639704,8905.857153,0.87013,67,0.180328,11,0.819672,50,0.12987,10,0.858974,0.87013,0.864516,0.691054,0.94422,0.955088,0.847826,0.158024,0.841976,0.152174,0.84764,0.847826,0.847688,0.691054,0.94422,0.948688,0.845481,0.847826,0.001,0,0.000826,0.00027,0.826,0.27,2733,86497,10873,99.275362,75.724638,?,?,?,?
banknote,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1234,138,113,25,0,81.884058,18.115942,0,0.630858,0.203004,0.342564,41.125478,68.976861,136.662355,68.568415,68.09394,0.990307,0.496873,0.493434,81.652155,0.591682,8237.301373,0.857143,66,0.229508,14,0.770492,47,0.142857,11,0.825,0.857143,0.840764,0.631478,0.927613,0.94887,0.818841,0.191206,0.808794,0.181159,0.818522,0.818841,0.818288,0.631478,0.927613,0.932926,0.81534,0.818841,0.001,0,0.00075,0.000216,0.75,0.216,2733,86497,10873,100,74.637681,?,?,?,?
banknote,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,114,23,0,83.211679,16.788321,0,0.655138,0.191337,0.327275,38.73711,65.850804,135.813086,64.464716,71.34837,0.991336,0.470545,0.520791,84.727171,0.618447,8548.509913,0.907895,69,0.262295,16,0.737705,45,0.092105,7,0.811765,0.907895,0.857143,0.661186,0.941976,0.960978,0.832117,0.186517,0.813483,0.167883,0.835639,0.832117,0.830124,0.661186,0.941976,0.942621,0.826802,0.832117,0.001,0,0.000576,0.000212,0.576,0.212,2733,86566,10804,99.270073,75.182482,?,?,?,?
banknote,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,110,27,0,80.291971,19.708029,0,0.602984,0.203804,0.33473,41.261196,67.350788,135.813086,64.754291,71.058796,0.991336,0.472659,0.518677,80.892725,0.590458,8161.635215,0.802632,61,0.196721,12,0.803279,49,0.197368,15,0.835616,0.802632,0.818792,0.603571,0.929034,0.949143,0.80292,0.197009,0.802991,0.19708,0.804452,0.80292,0.803301,0.603571,0.929034,0.934698,0.801396,0.80292,0.001,0,0.000569,0.000219,0.569,0.219,2733,86566,10804,99.270073,74.452555,?,?,?,?
banknote,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,111,26,0,81.021898,18.978102,0,0.618303,0.218379,0.360346,44.211821,72.505096,135.813086,78.08341,57.729677,0.991336,0.569952,0.421385,77.244403,0.563828,7793.539368,0.802632,61,0.180328,11,0.819672,50,0.197368,15,0.847222,0.802632,0.824324,0.619371,0.90811,0.932749,0.810219,0.187915,0.812085,0.189781,0.812496,0.810219,0.810667,0.619371,0.90811,0.913122,0.808988,0.810219,0.001,0,0.000572,0.000218,0.572,0.218,2733,86566,10804,98.540146,75.912409,?,?,?,?
banknote,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,118,19,0,86.131387,13.868613,0,0.717893,0.183997,0.311169,37.251163,62.610126,135.813086,61.896736,73.91635,0.991336,0.451801,0.539535,87.467524,0.638449,8824.996583,0.894737,68,0.180328,11,0.819672,50,0.105263,8,0.860759,0.894737,0.877419,0.718606,0.94478,0.964987,0.861314,0.146905,0.853095,0.138686,0.861343,0.861314,0.860908,0.718606,0.94478,0.941655,0.858878,0.861314,0,0.001,0.000575,0.00022,0.575,0.22,2733,86566,10804,98.540146,76.642336,?,?,?,?
banknote,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,120,17,0,87.591241,12.408759,0,0.746765,0.154325,0.280368,31.243775,56.412722,135.813086,48.630142,87.182945,0.991336,0.354965,0.636372,95.243073,0.695205,9609.507086,0.921053,70,0.180328,11,0.819672,50,0.078947,6,0.864198,0.921053,0.89172,0.748845,0.963978,0.975994,0.875912,0.135188,0.864812,0.124088,0.876958,0.875912,0.875237,0.748845,0.963978,0.963959,0.87321,0.875912,0.001,0,0.000665,0.000228,0.665,0.228,2733,86566,10804,99.270073,69.343066,?,?,?,?
banknote,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,120,17,0,87.591241,12.408759,0,0.746765,0.168137,0.291013,34.040176,58.554546,135.813086,51.380339,84.432747,0.991336,0.375039,0.616297,91.794966,0.670036,9261.611954,0.921053,70,0.180328,11,0.819672,50,0.078947,6,0.864198,0.921053,0.89172,0.748845,0.960526,0.972606,0.875912,0.135188,0.864812,0.124088,0.876958,0.875912,0.875237,0.748845,0.960526,0.962187,0.87321,0.875912,0.001,0,0.000574,0.000211,0.574,0.211,2733,86566,10804,100,73.722628,?,?,?,?
banknote,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,115,22,0,83.941606,16.058394,0,0.671749,0.188091,0.33393,38.07988,67.189956,135.813086,64.70444,71.108646,0.991336,0.472295,0.519041,85.283339,0.622506,8604.62419,0.894737,68,0.229508,14,0.770492,47,0.105263,8,0.829268,0.894737,0.860759,0.674457,0.941113,0.958284,0.839416,0.174187,0.825813,0.160584,0.840523,0.839416,0.838312,0.674457,0.941113,0.945261,0.835552,0.839416,0,0.001,0.000623,0.000218,0.623,0.218,2733,86566,10804,100,73.357664,?,?,?,?
banknote,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,114,23,0,83.211679,16.788321,0,0.655138,0.205723,0.343674,41.649731,69.150449,135.813086,69.199574,66.613512,0.991336,0.505106,0.48623,80.839276,0.590068,8156.242481,0.907895,69,0.262295,16,0.737705,45,0.092105,7,0.811765,0.907895,0.857143,0.661186,0.927739,0.948272,0.832117,0.186517,0.813483,0.167883,0.835639,0.832117,0.830124,0.661186,0.927739,0.931593,0.826802,0.832117,0,0.001,0.00057,0.000223,0.57,0.223,2733,86566,10804,100,75.912409,?,?,?,?
banknote,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1234,138,116,22,0,84.057971,15.942029,0,0.670072,0.196548,0.324477,39.817604,65.334872,136.662355,62.62608,74.036275,0.990307,0.453812,0.536495,83.947399,0.608314,8468.852103,0.935065,72,0.278689,17,0.721311,44,0.064935,5,0.808989,0.935065,0.86747,0.681193,0.946136,0.960957,0.84058,0.184203,0.815797,0.15942,0.848316,0.84058,0.837646,0.681193,0.946136,0.94962,0.833735,0.84058,0.001,0.001,0.000543,0.000237,0.543,0.237,2733,86497,10873,100,76.086957,?,?,?,?
banknote,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1234,138,119,19,0,86.231884,13.768116,0,0.718488,0.171499,0.313901,34.74306,63.205447,136.662355,59.845498,76.816857,0.990307,0.433663,0.556644,90.758643,0.657671,9155.989749,0.909091,70,0.196721,12,0.803279,49,0.090909,7,0.853659,0.909091,0.880503,0.720468,0.948691,0.964349,0.862319,0.149949,0.850051,0.137681,0.863092,0.862319,0.861542,0.720468,0.948691,0.950606,0.859055,0.862319,0.001,0,0.000509,0.000196,0.509,0.196,2733,86497,10873,99.275362,71.73913,?,?,?,?
banknote,4,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,114,23,0,83.211679,16.788321,0,0.659609,0.195265,0.326552,39.532466,65.705275,135.813086,64.335277,71.477809,0.991336,0.469601,0.521736,83.659179,0.610651,8440.755342,0.855263,65,0.196721,12,0.803279,49,0.144737,11,0.844156,0.855263,0.849673,0.659681,0.932269,0.956824,0.832117,0.173575,0.826425,0.167883,0.831916,0.832117,0.831972,0.659681,0.932269,0.932077,0.829795,0.832117,0.001,0,0.000498,0.000189,0.498,0.189,2733,86566,10804,98.540146,74.452555,?,?,?,?
banknote,4,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,119,18,0,86.861314,13.138686,0,0.732306,0.153711,0.274949,31.119581,55.32237,135.813086,45.577245,90.235841,0.991336,0.332681,0.658656,95.32509,0.695804,9617.782243,0.907895,69,0.180328,11,0.819672,50,0.092105,7,0.8625,0.907895,0.884615,0.733605,0.96786,0.97735,0.868613,0.141046,0.858954,0.131387,0.869042,0.868613,0.868071,0.733605,0.96786,0.96947,0.866037,0.868613,0,0.001,0.000499,0.000194,0.499,0.194,2733,86566,10804,100,72.627737,?,?,?,?
banknote,4,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,115,22,0,83.941606,16.058394,0,0.675984,0.204683,0.349107,41.439192,70.243733,135.813086,73.525712,62.287374,0.991336,0.536684,0.454652,81.269965,0.593211,8199.69666,0.842105,64,0.163934,10,0.836066,51,0.157895,12,0.864865,0.842105,0.853333,0.676277,0.918033,0.937492,0.839416,0.161245,0.838755,0.160584,0.840224,0.839416,0.839641,0.676277,0.918033,0.924333,0.837957,0.839416,0,0.001,0.000502,0.000196,0.502,0.196,2733,86566,10804,100,74.087591,?,?,?,?
banknote,4,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,116,21,0,84.671533,15.328467,0,0.688198,0.180019,0.309393,36.445685,62.252787,135.813086,58.891461,76.921626,0.991336,0.429865,0.561472,88.129176,0.643279,8891.753672,0.881579,67,0.196721,12,0.803279,49,0.118421,9,0.848101,0.881579,0.864516,0.688881,0.947584,0.964516,0.846715,0.161858,0.838142,0.153285,0.846644,0.846715,0.846267,0.688881,0.947584,0.949604,0.844023,0.846715,0,0,0.0005,0.000196,0.5,0.196,2733,86566,10804,98.540146,74.087591,?,?,?,?
banknote,4,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170914.2334,1235,137,112,25,0,81.751825,18.248175,0,0.63001,0.207852,0.347614,42.080667,69.943333,135.813086,71.598993,64.214093,0.991336,0.52262,0.468716,79.977476,0.583777,8069.291608,0.842105,64,0.213115,13,0.786885,48,0.157895,12,0.831169,0.842105,0.836601,0.630079,0.920621,0.946026,0.817518,0.188528,0.811472,0.182482,0.817291,0.817518,0.817361,0.630079,0.920621,0.922891,0.814995,0.817518,0,0,0.000498,0.00019,0.498,0.19,2733,86566,10804,99.270073,74.452555,?,?,?,?
